obsnme,obsval,weight,obgnme
loc008n0034,37.252898550724666,1.8053159335996884,07326X0028
loc008n0035,38.18010958904111,3.1288698810810915,07326X0028
loc008n0036,39.797643835616434,3.613627501561622,07326X0028
loc008n0037,40.05385245901639,6.048241042020957,07326X0028
loc008n0038,40.4485205479452,3.6785194377158086,07326X0028
loc008n0039,40.39120879120875,2.758420314386141,07326X0028
loc008n0040,37.38727011494247,1.3705371802852926,07326X0028
loc009n0001,-9999.0,0.0,09244X0025
loc009n0002,-9999.0,0.0,09244X0025
loc009n0003,-9999.0,0.0,09244X0025
loc009n0004,-9999.0,0.0,09244X0025
loc009n0005,-9999.0,0.0,09244X0025
loc009n0006,-9999.0,0.0,09244X0025
loc009n0007,-9999.0,0.0,09244X0025
loc009n0008,-9999.0,0.0,09244X0025
loc009n0009,-9999.0,0.0,09244X0025
loc009n0010,-9999.0,0.0,09244X0025
loc009n0011,-9999.0,0.0,09244X0025
loc009n0012,-9999.0,0.0,09244X0025
loc009n0013,-9999.0,0.0,09244X0025
loc009n0014,-9999.0,0.0,09244X0025
loc009n0015,-9999.0,0.0,09244X0025
loc009n0016,-9999.0,0.0,09244X0025
loc009n0017,-9999.0,0.0,09244X0025
loc009n0018,66.89,0.03584207040039643,09244X0025
loc009n0019,66.62333333333332,0.03584207040039643,09244X0025
loc009n0020,67.43333333333334,0.03584207040039643,09244X0025
loc009n0021,67.64333333333333,0.03584207040039643,09244X0025
loc009n0022,68.09333333333333,0.03584207040039643,09244X0025
loc009n0023,68.32333333333334,0.03584207040039643,09244X0025
loc009n0024,68.11,0.03584207040039643,09244X0025
loc009n0025,68.04666666666667,0.03584207040039643,09244X0025
loc009n0026,67.78999999999999,0.03584207040039643,09244X0025
loc009n0027,68.16666666666667,0.03584207040039643,09244X0025
loc009n0028,68.12666666666667,0.03584207040039643,09244X0025
loc009n0029,68.10000000000001,0.03584207040039643,09244X0025
loc009n0030,68.60333333333334,0.03584207040039643,09244X0025
