Modélisation du bassin de la SOMME Nappe_Libre (hallue.rma) [V7.5]
Date           	Date           	Charge         	Charge         	Charge         	Débit          	Débit          	Débit          	Débit_Rivi     	Débit_Rivi     	Rabattem       	Rabattem       	Rabattem       	
hallue         	hallue         	X19_Y38        	X20_Y42        	X18_Y33        	X19_Y38        	X20_Y42        	X18_Y33        	X24_Y48        	X22_Y40        	X19_Y38        	X20_Y42        	X18_Y33        	
 <Date>        	 <Date>        	h_aqu_con      	h_agri         	h_aep          	q_con          	q_agri         	q_aep          	q_riv_con      	q_riv          	r_con          	r_agri         	r_aep          	
16/09/1995 00:00	   259.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
17/09/1995 00:00	   260.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
18/09/1995 00:00	   261.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
19/09/1995 00:00	   262.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
20/09/1995 00:00	   263.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
21/09/1995 00:00	   264.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
22/09/1995 00:00	   265.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
23/09/1995 00:00	   266.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
24/09/1995 00:00	   267.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
25/09/1995 00:00	   268.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
26/09/1995 00:00	   269.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
27/09/1995 00:00	   270.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
28/09/1995 00:00	   271.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
29/09/1995 00:00	   272.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
30/09/1995 00:00	   273.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
01/10/1995 00:00	   274.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
02/10/1995 00:00	   275.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
03/10/1995 00:00	   276.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
04/10/1995 00:00	   277.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
05/10/1995 00:00	   278.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
06/10/1995 00:00	   279.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
07/10/1995 00:00	   280.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
08/10/1995 00:00	   281.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
09/10/1995 00:00	   282.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
10/10/1995 00:00	   283.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
11/10/1995 00:00	   284.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
12/10/1995 00:00	   285.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
13/10/1995 00:00	   286.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
14/10/1995 00:00	   287.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
15/10/1995 00:00	   288.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
16/10/1995 00:00	   289.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
17/10/1995 00:00	   290.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
18/10/1995 00:00	   291.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
19/10/1995 00:00	   292.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
20/10/1995 00:00	   293.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
21/10/1995 00:00	   294.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
22/10/1995 00:00	   295.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
23/10/1995 00:00	   296.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
24/10/1995 00:00	   297.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
25/10/1995 00:00	   298.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
26/10/1995 00:00	   299.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
27/10/1995 00:00	   300.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
28/10/1995 00:00	   301.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
29/10/1995 00:00	   302.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
30/10/1995 00:00	   303.0000    	   37.93863    	   35.18236    	   43.71181    	 -1.3116572E-10	 -1.5669363E-10	 -7.3630178E-11	  0.4874966    	  0.5547446    	 -0.7391770    	      0.0311348	  -4.030503    	
31/10/1995 00:00	   304.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
01/11/1995 00:00	   305.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
02/11/1995 00:00	   306.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
03/11/1995 00:00	   307.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
04/11/1995 00:00	   308.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
05/11/1995 00:00	   309.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
06/11/1995 00:00	   310.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
07/11/1995 00:00	   311.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
08/11/1995 00:00	   312.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
09/11/1995 00:00	   313.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
10/11/1995 00:00	   314.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
11/11/1995 00:00	   315.0000    	   37.93973    	   35.18383    	   43.71253    	 -7.2701607E-10	 -4.9582770E-09	 -6.1668493E-10	  0.4900815    	  0.5554306    	 -0.7380805    	      0.0325974	  -4.029782    	
